"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Pan","Pan_90292_Talus_Dorsal_L.png",0.005434,558,793,692,675,549,382,365,377,545,828,860,332,183,264,746,831,935,559,645,433,484,737,785,542,275,296,362,596,802,528,770,706,753,615,603,1028,1005,751,976,228,241,772
"Pan","Pan_90293_Talus_Dorsal_L.png",0.005555,451,695,601,594,452,307,258,252,444,742,778,222,54,147,661,716,860,435,568,315,381,715,788,538,274,247,300,536,768,489,774,681,735,578,577,994,987,783,929,190,182,745
"Pongo","Pongo_MCZ_37362_Talus_Dorsal_R.png",0.005618,540,351,359,324,542,727,777,791,543,283,241,830,909,859,350,198,187,493,370,580,497,660,648,422,173,160,139,390,666,416,734,638,610,445,447,987,914,636,899,132,72,790
"Pongo","Pongo_MCZ_37363_Talus_Dorsal_R.png",0.004902,520,337,350,393,521,703,720,745,515,252,180,769,879,804,288,142,114,422,454,681,424,714,654,452,240,224,242,465,702,453,730,623,687,501,498,1002,935,690,936,187,189,826
"Pongo","Pongo_MCZ_37365_Talus_Dorsal_R.png",0.004878,517,351,356,379,517,685,720,777,511,230,172,808,913,828,308,186,120,474,395,648,465,732,634,444,255,213,209,428,670,463,746,632,657,470,467,1024,973,700,941,171,148,829
"Pongo","Pongo_MCZ_50958_Talus_Dorsal_R.png",0.004464,565,369,409,426,565,723,760,765,560,315,288,806,929,866,399,300,227,554,475,784,553,738,728,531,313,280,287,531,747,514,786,715,722,571,573,1065,1028,859,961,261,217,864
"Pongo","Pongo_MCZ_50960_Talus_Dorsal_R.png",0.004484,454,233,326,357,456,748,827,814,461,160,139,863,958,896,271,104,63,456,352,673,435,770,740,512,216,172,232,526,810,486,776,656,784,666,667,1103,1029,758,1009,151,101,893
"Pongo","Pongo_SI_143588_Talus_Dorsal_R.png",0.004629,545,333,361,376,545,696,754,845,549,244,212,886,1003,907,412,300,204,586,410,644,534,754,765,538,259,220,229,527,790,505,824,739,758,627,623,1097,1044,848,990,235,136,872
"Pongo","Pongo_USNM_49848_143596_Talus_Dorsal_R.png",0.00463,546,355,367,400,545,692,724,733,539,266,244,761,918,828,382,255,188,523,444,717,495,543,549,340,119,139,156,393,596,342,592,497,587,451,449,861,815,638,778,105,59,622
"Pongo","Pongo_USNM_49850_143587_Talus_Dorsal_L.png",0.00463,478,705,651,613,475,258,225,183,484,810,827,137,41,120,705,827,888,529,521,302,469,560,620,384,181,112,148,397,647,339,682,599,616,516,514,994,943,676,910,102,65,652
"Pongo","Pongo_USNM_49851_143598_Talus_Dorsal_R.png",0.004762,636,448,464,455,641,776,816,837,640,366,335,872,963,896,422,315,270,579,473,709,580,623,597,412,233,197,224,434,657,409,683,606,619,510,502,953,894,723,890,179,133,717
"Pongo","Pongo_USNM_49853_143597_Talus_Dorsal_L.png",0.00346,576,879,784,740,581,388,349,303,579,957,998,257,138,226,876,999,1085,684,702,452,629,770,740,475,185,169,226,557,818,487,740,650,784,632,629,1095,1053,746,1008,146,102,801
"Pongo","Pongo_USNM_49855_143590_Talus_Dorsal_L.png",0.005434,562,786,758,743,563,382,359,380,558,844,857,344,248,292,789,925,952,656,721,437,564,631,641,440,225,205,238,473,696,423,651,557,661,578,576,937,879,654,872,170,150,657
"Pongo","Pongo_USNM_49857_143601_Talus_Dorsal_R.png",0.003597,564,285,356,364,564,805,838,839,557,204,190,874,988,926,321,209,118,515,430,695,540,750,756,512,256,217,242,533,795,490,804,709,762,594,591,1133,1087,835,1031,187,114,834
"Pongo","Pongo_USNM_49859_143593_Talus_Dorsal_R.png",0.005263,571,379,387,401,572,709,788,823,573,305,256,841,917,857,367,256,193,537,421,633,547,718,730,501,300,224,262,513,769,480,785,739,694,591,591,1058,1020,797,943,233,176,789
"Pongo","Pongo_USNM_49860_143594_Talus_Dorsal_L.png",0.004902,512,788,714,670,510,350,339,345,516,856,888,310,166,238,768,884,960,642,626,382,566,622,621,403,178,126,196,442,683,378,622,539,662,492,491,916,882,645,861,120,96,631
